"estudio" "nota"
"111" "Telematica" 3.51270297465574
"112" "Mates" 2.70054679739821
"113" "Telematica" 5.21213281042705
"114" "Telematica" 2.95139593840455
"115" "Telematica" 2.9778022200735
"116" "Informatica" 3.42791643401683
"117" "Mates" 1.83462966660254
"118" "Mates" 1.27259442057857
"119" "Telematica" 2.99448218985543
"120" "Telematica" 3.40901720236509
"121" "Industrial" 5.12267624164895
"122" "Mates" 6.5969452293527
"123" "Industrial" 10.0246869292132
"124" "Informatica" 6.10267532529504
"125" "Industrial" 2.78481435275926
"126" "Telematica" 6.28252317770612
"127" "Mates" 3.47397544047161
"128" "Industrial" 4.95561985769829
"129" "Mates" 8.53997935930595
"130" "Mates" 3.29752848424022
"131" "Informatica" 3.31534562300242
"132" "Industrial" 1.30494242666158
"133" "Informatica" 3.23606256587571
"134" "Mates" 3.43082496164387
"135" "Informatica" 5.12882454892306
"136" "Mates" 3.52297801717722
"137" "Telematica" 1.63596430025344
"138" "Informatica" 1.93203060602611
"139" "Telematica" 3.09403000438194
"140" "Mates" 5.75131940045016
"141" "Telematica" 7.85874334852727
"142" "Industrial" 1.42479351983727
"143" "Industrial" 4.63274585179656
"144" "Mates" 4.58650593161768
"145" "Telematica" 3.97616530443252
"146" "Mates" 1.9615499396446
"147" "Informatica" 3.48130938973158
"148" "Mates" 5.96018669495123
"149" "Industrial" 0
"150" "Telematica" 2.27478658481792
"151" "Mates" 1.08353252041335
"152" "Telematica" 2.72275136431046
"153" "Industrial" 3.05437614593682
"154" "Telematica" 6.36909670316074
"155" "Telematica" 4.6940934071047
"156" "Industrial" 6.04862819471752
"157" "Telematica" 1.22790584201786
"158" "Mates" 0.607736230040969
"159" "Industrial" 3.4949519447839
"160" "Mates" 8.23418745265892
"161" "Mates" 1.7356666306075
"162" "Mates" 5.24322848962466
"163" "Informatica" 8.51565330054043
"164" "Mates" 5.67211436585958
"165" "Mates" 4.50303440567883
"166" "Informatica" 4.14137113008385
"167" "Industrial" 6.6845900500241
"168" "Telematica" 3.70088148517372
"169" "Informatica" 3.76594711444843
"170" "Telematica" 2.39850566304357
"171" "Mates" 6.0077021175687
"172" "Industrial" 5.10688849521508
"173" "Mates" 2.29581323311069
"174" "Telematica" 0.657796929368746
"175" "Telematica" 2.86329727895358
"176" "Informatica" 5.83328072354144
"177" "Telematica" 2.40734051974477
"178" "Industrial" 1.0629152958273
"179" "Informatica" 1.84611621377545
"180" "Industrial" 0.435086255326922
"181" "Informatica" 2.45345333125247
"182" "Informatica" 3.2914262893134
"183" "Informatica" 7.82377855983302
"184" "Telematica" 3.36052704873433
"185" "Informatica" 2.82768506430028
"186" "Informatica" 5.17238419149593
"187" "Mates" 6.26883306088147
"188" "Mates" 4.62161287137601
"189" "Mates" 1.17117696542932
"190" "Telematica" 3.01587886233283
"191" "Informatica" 3.47787001177313
"192" "Mates" 7.95667332161424
"193" "Mates" 8.45052000596236
"194" "Telematica" 0.976461859800684
"195" "Mates" 5.7100920511507
"196" "Informatica" 4.55284999329957
"197" "Industrial" 1.58475791955996
"198" "Industrial" 3.53064340649519
"199" "Informatica" 4.12497889821652
"200" "Mates" 7.86880887690839
