"","Year","City","Sport","Discipline","NOC","Event","Event.gender","Medal"
"311",1952,"Oslo","Skating","Figure skating","USA","individual","M","Bronze"
"312",1952,"Oslo","Skating","Figure skating","USA","individual","M","Gold"
"313",1952,"Oslo","Skating","Figure skating","USA","individual","W","Silver"
"314",1952,"Oslo","Skating","Figure skating","USA","pairs","X","Silver"
"315",1952,"Oslo","Skating","Speed skating","USA","500m","M","Gold"
"316",1952,"Oslo","Skating","Speed skating","USA","500m","M","Silver"
"317",1952,"Oslo","Skiing","Alpine Skiing","USA","giant slalom","W","Gold"
"318",1952,"Oslo","Skiing","Alpine Skiing","USA","slalom","W","Gold"
"319",1956,"Cortina d'Ampezzo","Skating","Figure skating","AUT","individual","W","Bronze"
"320",1956,"Cortina d'Ampezzo","Skating","Figure skating","AUT","pairs","X","Gold"
"321",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","downhill","M","Bronze"
"322",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","downhill","M","Gold"
"323",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","giant slalom","M","Bronze"
"324",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","giant slalom","M","Gold"
"325",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","giant slalom","M","Silver"
"326",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","giant slalom","W","Bronze"
"327",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","giant slalom","W","Silver"
"328",1956,"Cortina d'Ampezzo","Skiing","Alpine Skiing","AUT","slalom","M","Gold"
